Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
PCA,135,89.0738,62.3785,0,30.0,60.0,10,0.4047673682446552,7.315419012971418e-05
PCA,151,42.1208,62.3785,0,30.0,60.0,10,0.49662068755543287,0.0015113749220533061
PCA,18,120.5638,62.3785,0,30.0,60.0,10,0.523785217271026,0.0003948045008200513
PCA,188,40.9128,62.3785,0,30.0,60.0,10,0.699609625818582,0.0007455749073329099
PCA,199,37.8523,62.3785,0,30.0,60.0,10,0.563934132774652,0.00046217194354824826
PCA,266,42.8456,62.3785,0,30.0,60.0,10,0.6037880508680395,0.0012613127922655697
PCA,280,49.4497,62.3785,0,30.0,60.0,10,0.4592438725683713,0.0005163790755441445
PCA,299,50.1745,62.3785,0,30.0,60.0,10,0.43617374400657716,0.0013267340856681763
PCA,330,43.651,62.3785,0,30.0,60.0,10,0.6220527677403134,0.00011307507205185377
PCA,333,153.3423,62.3785,0,30.0,60.0,10,0.4483558337903798,9.18017942651292e-05
PCA,336,75.5436,62.3785,0,30.0,60.0,10,0.4343209369221327,0.00063108030757158
PCA,337,127.2483,62.3785,0,30.0,60.0,10,0.5125280373859258,0.00018092694454958247
PCA,338,76.5906,62.3785,0,30.0,60.0,10,0.45849901391705783,0.0008972428420681184
PCA,347,44.698,62.3785,0,30.0,60.0,10,0.5513218595470274,0.0003438312019074302
PCA,36,41.8792,62.3785,0,30.0,60.0,10,0.4538694342353581,0.001968821334679808
PCA,364,51.2215,62.3785,0,30.0,60.0,10,0.3916465233842621,0.0005859086744456057
PCA,4,61.4497,62.3785,0,30.0,60.0,10,0.6095514324435019,8.942937706115659e-05
PCA,50,42.7651,62.3785,0,30.0,60.0,10,0.5361796089323354,0.0004487506874720703
PCA,6,43.2483,62.3785,0,30.0,60.0,10,0.7005494001034713,0.0006722750001841618
PCA,69,46.7114,62.3785,0,30.0,60.0,10,0.451531210721405,2.8811413406787362e-05
PCA,9,42.8456,62.3785,0,30.0,60.0,10,0.521888245828798,0.000163439520592152
POS,10,60.1611,62.3785,18.5567,30.0,60.0,10,0.2866970794389364,8.684208738441176e-06
POS,101,128.2953,62.3785,18.5567,30.0,60.0,10,0.5296011225949899,0.00027930493364319387
POS,104,121.5302,62.3785,18.5567,30.0,60.0,10,0.5413670114233642,4.220019747923582e-05
POS,107,128.6174,62.3785,18.5567,30.0,60.0,10,0.42091734457581587,5.513727405882231e-05
POS,108,40.9128,62.3785,0,30.0,60.0,10,0.5104760078299156,0.00010744468474012117
POS,109,126.0403,62.3785,18.5567,30.0,60.0,10,0.6300878570379101,2.377501842083451e-05
POS,135,124.1879,62.3785,0,30.0,60.0,10,0.4676317185420832,0.0007704269878405628
POS,151,129.0201,62.3785,0,30.0,60.0,10,0.5178902625104358,7.355928987003718e-06
POS,18,120.2416,62.3785,0,30.0,60.0,10,0.49548157253464664,0.00013513051087937278
POS,188,100.8322,62.3785,18.5567,30.0,60.0,10,0.371404136805358,0.0013614016610240367
POS,199,101.6376,62.3785,0,30.0,60.0,10,0.6233129516841491,4.2030005110648994e-05
POS,266,127.4899,62.3785,18.5567,30.0,60.0,10,0.5757498146487228,0.0002438058115416974
POS,280,51.6242,62.3785,0,30.0,60.0,10,0.37064177829101064,0.00013844571364162947
POS,299,48.0805,62.3785,0,30.0,60.0,10,0.35089375255216815,0.00014274146215717087
POS,330,125.7181,62.3785,0,30.0,60.0,10,0.5612405039982019,0.0002457651861919026
POS,333,93.8255,62.3785,0,30.0,60.0,10,0.43520196583781656,0.0002672835334111421
POS,336,118.3893,62.3785,0,30.0,60.0,10,0.42791535510667056,5.051267727512378e-05
POS,337,127.0872,62.3785,0,30.0,60.0,10,0.4919377761087831,0.0003087382254775199
POS,338,76.4295,62.3785,0,30.0,60.0,10,0.3926444579288284,0.0003610332905196477
POS,347,125.4765,62.3785,0,30.0,60.0,10,0.6221805645002926,0.00022720017560938304
POS,36,132.0805,62.3785,0,30.0,60.0,10,0.4810133466822609,5.346172272607214e-06
POS,364,78.2013,62.3785,18.5567,30.0,60.0,10,0.531668191050949,0.0001672686380962251
POS,4,126.604,62.3785,0,30.0,60.0,10,0.5720937775612811,6.421229403022481e-05
POS,50,129.4228,62.3785,0,30.0,60.0,10,0.5159467878601123,0.00039897177757296356
POS,6,42.7651,62.3785,0,30.0,60.0,10,0.6250273245173179,0.0009491652278778691
POS,69,126.604,62.3785,18.5567,30.0,60.0,10,0.5473094705603214,0.00019693101777637417
POS,9,129.4228,62.3785,0,30.0,60.0,10,0.47722921932116147,0.0007410135460722312
SSR,151,130.1477,62.3785,0,30.0,60.0,10,0.5104903288555864,0.0003122644226454347
